TransectID,Meter,SampleID,Density.Quadrat.Size.m2,Total.shoots,Flowering.shoots,Cover.Quadrat.Size.m2,Percent.Seagrass,Percent.Bare,Percent.Other,Density.shoots.m2
2019-07-14_WA_A_U1,m4,2019-07-14_WA_A_U1_m4,0.25,12,0,0.25,30,0,70,48
2019-07-14_WA_A_U1,m8,2019-07-14_WA_A_U1_m8,0.25,1,0,0.25,0,0,100,4
2019-07-14_WA_A_U1,m12,2019-07-14_WA_A_U1_m12,0.25,3,0,0.25,5,25,75,12
2019-07-14_WA_A_U1,m16,2019-07-14_WA_A_U1_m16,0.25,8,1,0.25,20,10,80,32
2019-07-14_WA_A_U2,m4,2019-07-14_WA_A_U2_m4,0.25,6,0,0.25,15,0,100,24
2019-07-14_WA_A_U2,m8,2019-07-14_WA_A_U2_m8,0.25,13,1,0.25,60,0,40,52
2019-07-14_WA_A_U2,m12,2019-07-14_WA_A_U2_m12,0.25,15,1,0.25,80,0,30,60
2019-07-14_WA_A_U2,m16,2019-07-14_WA_A_U2_m16,0.25,7,0,0.25,25,25,50,28
2019-07-14_WA_A_U3,m4,2019-07-14_WA_A_U3_m4,0.25,8,0,0.25,10,20,75,32
2019-07-14_WA_A_U3,m8,2019-07-14_WA_A_U3_m8,0.25,8,1,0.25,25,10,80,32
2019-07-14_WA_A_U3,m12,2019-07-14_WA_A_U3_m12,0.25,2,0,0.25,5,50,50,8
2019-07-14_WA_A_U3,m16,2019-07-14_WA_A_U3_m16,0.25,1,0,0.25,5,20,80,4
2019-07-14_WA_A_L4,m4,2019-07-14_WA_A_L4_m4,0.25,28,10,0.25,60,0,60,112
2019-07-14_WA_A_L4,m8,2019-07-14_WA_A_L4_m8,0.25,29,4,0.25,60,0,40,116
2019-07-14_WA_A_L4,m12,2019-07-14_WA_A_L4_m12,0.25,23,4,0.25,40,0,80,92
2019-07-14_WA_A_L4,m16,2019-07-14_WA_A_L4_m16,0.25,21,7,0.25,40,0,80,84
2019-07-14_WA_A_L5,m4,2019-07-14_WA_A_L5_m4,0.25,15,0,0.25,15,0,100,60
2019-07-14_WA_A_L5,m8,2019-07-14_WA_A_L5_m8,0.25,32,0,0.25,100,0,5,128
2019-07-14_WA_A_L5,m12,2019-07-14_WA_A_L5_m12,0.25,27,2,0.25,100,0,0,108
2019-07-14_WA_A_L5,m16,2019-07-14_WA_A_L5_m16,0.25,23,6,0.25,100,0,5,92
2019-07-14_WA_A_L6,m4,2019-07-14_WA_A_L6_m4,0.25,5,0,0.25,65,0,50,20
2019-07-14_WA_A_L6,m8,2019-07-14_WA_A_L6_m8,0.25,25,7,0.25,80,0,20,100
2019-07-14_WA_A_L6,m12,2019-07-14_WA_A_L6_m12,0.25,25,1,0.25,75,10,10,100
2019-07-14_WA_A_L6,m16,2019-07-14_WA_A_L6_m16,0.25,21,3,0.25,100,0,10,84
2019-07-15_WA_B_U1,m4,2019-07-15_WA_B_U1_m4,0.25,6,0,0.25,0,0,100,24
2019-07-15_WA_B_U1,m8,2019-07-15_WA_B_U1_m8,0.25,3,0,0.25,15,0,100,12
2019-07-15_WA_B_U1,m12,2019-07-15_WA_B_U1_m12,0.25,25,0,0.25,60,0,100,100
2019-07-15_WA_B_U1,m16,2019-07-15_WA_B_U1_m16,0.25,8,1,0.25,15,0,100,32
2019-07-15_WA_B_U2,m4,2019-07-15_WA_B_U2_m4,0.25,15,0,0.25,80,0,50,60
2019-07-15_WA_B_U2,m8,2019-07-15_WA_B_U2_m8,0.25,10,0,0.25,60,0,60,40
2019-07-15_WA_B_U2,m12,2019-07-15_WA_B_U2_m12,0.25,9,0,0.25,60,0,100,36
2019-07-15_WA_B_U2,m16,2019-07-15_WA_B_U2_m16,0.25,13,0,0.25,45,0,75,52
2019-07-15_WA_B_U3,m4,2019-07-15_WA_B_U3_m4,0.25,30,0,0.25,100,0,25,120
2019-07-15_WA_B_U3,m8,2019-07-15_WA_B_U3_m8,0.25,19,0,0.25,60,0,50,76
2019-07-15_WA_B_U3,m12,2019-07-15_WA_B_U3_m12,0.25,24,0,0.25,80,0,40,96
2019-07-15_WA_B_U3,m16,2019-07-15_WA_B_U3_m16,0.25,21,0,0.25,100,0,0,84
2019-07-15_WA_B_L4,m4,2019-07-15_WA_B_L4_m4,0.25,0,0,0.25,0,0,100,0
2019-07-15_WA_B_L4,m8,2019-07-15_WA_B_L4_m8,0.25,8,0,0.25,20,0,100,32
2019-07-15_WA_B_L4,m12,2019-07-15_WA_B_L4_m12,0.25,13,0,0.25,60,0,60,52
2019-07-15_WA_B_L4,m16,2019-07-15_WA_B_L4_m16,0.25,16,0,0.25,75,0,50,64
2019-07-15_WA_B_L5,m4,2019-07-15_WA_B_L5_m4,0.25,13,0,0.25,80,10,20,52
2019-07-15_WA_B_L5,m8,2019-07-15_WA_B_L5_m8,0.25,14,0,0.25,80,0,20,56
2019-07-15_WA_B_L5,m12,2019-07-15_WA_B_L5_m12,0.25,23,0,0.25,100,0,0,92
2019-07-15_WA_B_L5,m16,2019-07-15_WA_B_L5_m16,0.25,23,0,0.25,80,0,20,92
2019-07-15_WA_B_L6,m4,2019-07-15_WA_B_L6_m4,0.25,26,0,0.25,80,10,15,104
2019-07-15_WA_B_L6,m8,2019-07-15_WA_B_L6_m8,0.25,17,0,0.25,80,0,40,68
2019-07-15_WA_B_L6,m12,2019-07-15_WA_B_L6_m12,0.25,13,0,0.25,30,15,75,52
2019-07-15_WA_B_L6,m16,2019-07-15_WA_B_L6_m16,0.25,11,0,0.25,25,20,20,44
2019-07-18_WA_C_U1,m4,2019-07-18_WA_C_U1_m4,0.25,2,0,0.25,,,,8
2019-07-18_WA_C_U1,m8,2019-07-18_WA_C_U1_m8,0.25,5,0,0.25,,,,20
2019-07-18_WA_C_U1,m12,2019-07-18_WA_C_U1_m12,0.25,5,0,0.25,,,,20
2019-07-18_WA_C_U1,m16,2019-07-18_WA_C_U1_m16,0.25,6,0,0.25,,,,24
2019-07-18_WA_C_U2,m4,2019-07-18_WA_C_U2_m4,0.25,4,1,0.25,,,,16
2019-07-18_WA_C_U2,m8,2019-07-18_WA_C_U2_m8,0.25,4,0,0.25,,,,16
2019-07-18_WA_C_U2,m12,2019-07-18_WA_C_U2_m12,0.25,4,0,0.25,,,,16
2019-07-18_WA_C_U2,m16,2019-07-18_WA_C_U2_m16,0.25,7,0,0.25,,,,28
2019-07-18_WA_C_U3,m4,2019-07-18_WA_C_U3_m4,0.25,11,0,0.25,,,,44
2019-07-18_WA_C_U3,m8,2019-07-18_WA_C_U3_m8,0.25,4,0,0.25,,,,16
2019-07-18_WA_C_U3,m12,2019-07-18_WA_C_U3_m12,0.25,6,0,0.25,,,,24
2019-07-18_WA_C_U3,m16,2019-07-18_WA_C_U3_m16,0.25,8,0,0.25,,,,32
2019-07-18_WA_C_L4,m4,2019-07-18_WA_C_L4_m4,0.25,2,0,0.25,,,,8
2019-07-18_WA_C_L4,m8,2019-07-18_WA_C_L4_m8,0.25,3,0,0.25,,,,12
2019-07-18_WA_C_L4,m12,2019-07-18_WA_C_L4_m12,0.25,12,0,0.25,,,,48
2019-07-18_WA_C_L4,m16,2019-07-18_WA_C_L4_m16,0.25,10,0,0.25,,,,40
2019-07-18_WA_C_L5,m4,2019-07-18_WA_C_L5_m4,0.25,5,2,0.25,,,,20
2019-07-18_WA_C_L5,m8,2019-07-18_WA_C_L5_m8,0.25,10,7,0.25,,,,40
2019-07-18_WA_C_L5,m12,2019-07-18_WA_C_L5_m12,0.25,8,3,0.25,,,,32
2019-07-18_WA_C_L5,m16,2019-07-18_WA_C_L5_m16,0.25,7,2,0.25,,,,28
